date,open,high,low,close,adj_close,volume,rsi,macd,macd_signal,macd_hist,sma_20,ema_20,bb_upper,bb_middle,bb_lower,atr,returns,volatility,day_of_week,day_of_month,month,week_of_year
2011-08-10,179.51779174804688,180.58070373535156,174.8661346435547,176.6376495361328,159.68209838867188,17746463,28.324912276701184,-5.930049955709279,-4.153758714987721,-1.7762912407215579,191.95215301513673,189.00995158785753,208.89164893585206,191.95215301513673,175.0126570944214,4.975904664912887,0.009734728559527284,0.013307822593633709,2,10,8,32
2011-08-11,175.6318817138672,179.42636108398438,174.8661346435547,176.51193237304688,159.56849670410156,10890149,28.220889056903303,-6.181940548967674,-4.5593950817837126,-1.6225454671839614,190.8623825073242,187.81966404358985,208.80112602386532,190.8623825073242,172.9236389907831,4.9462133631640866,-0.0007117234825988472,0.013225737971342452,3,11,8,32
2011-08-12,178.9806365966797,178.9806365966797,173.26605224609375,173.92893981933594,157.2334442138672,17222470,26.100011110219327,-6.51489195197081,-4.950494455821132,-1.5643974961496783,189.57888793945312,186.49673792699426,208.48106439910913,189.57888793945312,170.67671147979712,5.00109700512279,-0.014633529410645996,0.013036188398632968,4,12,8,32
2011-08-16,173.7232208251953,176.5347900390625,172.51171875,173.52891540527344,156.87179565429688,11286937,25.776920715063113,-6.7334183098389815,-5.307079226624702,-1.4263390832142795,188.33939514160156,185.26170721063988,208.02162358628863,188.33939514160156,168.6571666969145,4.931238025404197,-0.002299930158132457,0.01307635107995234,1,16,8,33
2011-08-17,173.83750915527344,177.0148162841797,171.6659698486328,172.58030700683594,156.01425170898438,13545843,24.987001551513785,-6.9035667723194365,-5.62637673576365,-1.277190036555787,186.9170364379883,184.05395481027762,206.8361219149437,186.9170364379883,166.99795096103287,4.961067197557246,-0.005466572508806666,0.012187908260830793,2,17,8,33
2011-08-18,173.19747924804688,173.7232208251953,168.46580505371094,169.4258575439453,153.16261291503906,17126872,22.51604548553408,-7.209837840848763,-5.943068956780673,-1.2667688840680906,185.37410049438478,182.66080268967454,205.68905566888253,185.37410049438478,165.05914531988702,4.982234952837755,-0.01827815419731338,0.012382297497464041,3,18,8,33
2011-08-19,167.10572814941406,168.9229736328125,164.87704467773438,167.4486083984375,151.3751220703125,20399978,21.107076388996504,-7.525359688587713,-6.259527103142081,-1.265832585445632,183.9077392578125,181.21202228098528,204.94012605996747,183.9077392578125,162.87535245565752,4.951276232364411,-0.011670291501962526,0.012217507196483568,4,19,8,33
2011-08-22,167.09429931640625,173.68893432617188,165.85995483398438,173.03746032714844,156.42750549316406,15542731,33.73029926299424,-7.240969988787043,-6.455815680271074,-0.7851543085159687,182.57795639038085,180.43349257109605,202.81315078593408,182.57795639038085,162.3427619948276,5.156826465208917,0.03337652060632523,0.014484878870870898,0,22,8,34
2011-08-23,173.80322265625,176.46621704101562,170.8659210205078,174.92327880859375,158.13232421875,17536780,37.37167079736392,-6.7852037070753966,-6.521693285631939,-0.26351042144345715,181.23388748168946,179.9087103080006,199.67358980969928,181.23388748168946,162.79418515367965,5.188502862015981,0.010898325009393695,0.014486214744208142,1,23,8,34
2011-08-24,174.63754272460938,175.89476013183594,172.8088836669922,174.02037048339844,157.31607055664062,12987792,36.342025672580355,-6.422824478603729,-6.501919524226298,0.07909504562256853,179.97439422607422,179.34791603899086,196.6912861649346,179.97439422607422,163.25750228721384,5.0383152622179646,-0.0051617390855296374,0.014426746628567345,2,24,8,34
2011-08-25,174.0889434814453,175.78045654296875,171.49452209472656,172.2374267578125,155.70428466796875,21214238,34.330595101359265,-6.2079436768153755,-6.443124354744114,0.23518067792873865,178.7474739074707,178.67072658364054,193.87848859572054,178.7474739074707,163.61645921922084,4.984573775505409,-0.01024560354993631,0.014393284128036279,3,25,8,34
2011-08-26,171.6659698486328,172.8317413330078,162.751220703125,164.44273376464844,148.65782165527344,19501819,27.233956138466084,-6.590642846643135,-6.472628053123918,-0.11801479351921706,177.3994041442871,177.31567964849845,192.58378333777085,177.3994041442871,162.21502495080335,5.348569979389509,-0.04525551234647962,0.016301927469291978,4,26,8,34
2011-08-29,167.11715698242188,173.7003631591797,166.48855590820312,172.59173583984375,156.0245819091797,18316877,40.971862635612695,-6.165308493966734,-6.411164141292482,0.24585564732574827,176.56621856689452,176.8657802381504,190.85950934589985,176.56621856689452,162.2729277878892,5.627788509042491,0.049555257861732205,0.020505397924355122,0,29,8,35
2011-08-30,174.8661346435547,182.02078247070312,174.63754272460938,178.88919067382812,161.71754455566406,34217075,48.98711170158333,-5.259448333529576,-6.180820979739901,0.9213726462103251,176.01476135253907,177.0584859939292,188.99571580504542,176.01476135253907,163.03380690003272,5.899306946315126,0.03648758037770761,0.02236874683897111,1,30,8,35
2011-09-02,182.11221313476562,185.99813842773438,180.45498657226562,184.11231994628906,166.43930053710938,34086257,54.504989852606364,-4.0731322164832875,-5.759283227088579,1.6861510106052915,175.6507423400879,177.73027970367775,187.21763602671646,175.6507423400879,164.08384865345934,5.9857098611430635,0.029197567794827517,0.0233723604198764,4,2,9,35
2011-09-05,181.6093292236328,182.63795471191406,178.9691925048828,180.31784057617188,163.00906372070312,19981247,50.25238549716111,-3.399958317080518,-5.287418245086967,1.8874599280064492,175.23700714111328,177.97671407248671,185.4334101622732,175.23700714111328,165.04060411995337,5.925525402590433,-0.020609589685384178,0.023586431808209626,0,5,9,36
2011-09-06,179.02635192871094,188.69541931152344,177.49484252929688,187.7810821533203,169.75587463378906,31333473,57.3078655989188,-2.2384386026524794,-4.67762231660007,2.4391837139475907,175.3415840148926,178.9104634135185,185.9972184245034,175.3415840148926,164.6859496052818,6.302314786850157,0.041389368646502556,0.02520294954208302,1,6,9,36
2011-09-07,188.3525390625,192.80990600585938,188.28396606445312,190.52407836914062,172.2355499267578,31438175,59.577024860034584,-1.08409224960036,-3.958916303200128,2.874824053599768,175.81589431762694,180.0165219807206,188.15504949548148,175.81589431762694,163.4767391397724,6.211351148685078,0.014607415104683996,0.024613973865990416,2,7,9,36
2011-09-08,190.52407836914062,196.3529510498047,186.18099975585938,194.85572814941406,176.15142822265625,35284258,62.92803348136113,0.17820920320701816,-3.131491201918699,3.3097004051257173,176.63650817871093,181.42977971107234,191.4919235477846,176.63650817871093,161.78109280963724,6.494251159060809,0.022735445395415388,0.02465708797868723,3,8,9,36
2011-09-09,194.7871551513672,196.25009155273438,188.28396606445312,188.7525634765625,170.63412475585938,29564130,55.896956285064135,0.6782988096724125,-2.3695331996004767,3.047832009272889,177.327400970459,182.12718768873808,193.061267900475,177.327400970459,161.593534040443,6.5993850397194125,-0.031321453727917614,0.025410179213047956,4,9,9,36
2011-09-12,185.2323760986328,187.99822998046875,181.78077697753906,184.30661010742188,166.61495971679688,18579499,51.3922179838796,0.7077140581150161,-1.754083748057378,2.4617978061723944,177.71084899902343,182.33475172861273,193.72999877784358,177.71084899902343,161.69169922020328,6.625985143955414,-0.023554399936362658,0.026097844915883715,0,12,9,37
2011-09-13,185.8838348388672,188.5239715576172,182.12364196777344,185.2095184326172,167.43116760253906,25400442,52.23412205172618,0.794721950407677,-1.244322608364367,2.0390445587720443,178.14572830200194,182.60853903375602,194.48020741960136,178.14572830200194,161.81124918440253,6.609866890090295,0.004898947057129677,0.026095840799420577,1,13,9,37
2011-09-14,186.04385375976562,189.66688537597656,184.05517578125,188.6725616455078,170.56178283691406,20539026,55.4231965360538,1.1300880260196209,-0.7694404814875695,1.8995285075071904,178.88290939331054,183.18606499678,195.71288405831345,178.88290939331054,162.05293472830763,6.538569940421458,0.01869797644417792,0.0260054549484795,2,14,9,37
2011-09-15,190.4097900390625,191.68984985351562,185.96385192871094,191.1641082763672,172.81419372558594,20407052,57.61573560352853,1.5787165854306409,-0.29980906810392743,1.8785256535345682,179.76466903686523,183.94587864245497,197.21661923805718,179.76466903686523,162.31271883567328,6.480529082163117,0.013205664931505323,0.026035228520483716,3,15,9,37
2011-09-16,194.2957000732422,194.2957000732422,187.6667938232422,188.72970581054688,170.61343383789062,26810791,54.78060366442893,1.7180177776053824,0.10375630103793457,1.614261476567448,180.57213897705077,184.40148122989228,198.1139148370559,180.57213897705077,163.03036311704565,6.491127451294323,-0.0127346209901541,0.026239127377860175,4,16,9,37
2011-09-19,188.58111572265625,189.5297393798828,186.43243408203125,187.79251098632812,169.76622009277344,12796090,53.68536131191671,1.732816357831922,0.4295683123967321,1.3032480454351898,181.49047164916993,184.72443644479094,198.5174912700315,181.49047164916993,164.46345202830835,6.248711583191269,-0.004965804509649008,0.02578888877008917,0,19,9,38
2011-09-20,188.12396240234375,195.1986083984375,186.5924530029297,194.7071533203125,176.01712036132812,18437927,60.03422720300037,2.2762588919701727,0.7989064283114202,1.4773524636587525,182.85339889526367,185.67517138531682,199.52644494646364,182.85339889526367,166.1803528440637,6.417100426928164,0.036820650076337724,0.026356114708977682,1,20,9,38
